views,likes,media,comments,url,caption,post_datetime
51182,4555,video,33,https://www.instagram.com/p/BbnS_cCF5op/?taken-by=hp,Check out how @brooklynandbailey spiced up senior week by printing photos of their favorite memories with their HP Sprocket. 🏫,2017-11-17T23:01:33.000Z
134226,10319,video,333,https://www.instagram.com/p/BbvBRJJl-xa/?taken-by=hp,The @merrelltwins use the HP Sprocket for daily surprises. Where would you stick photo prints to surprise your friends? ☕💖🎸,2017-11-20T23:00:32.000Z
83232,6676,video,286,https://www.instagram.com/p/Bb0KXnXFZTD/?taken-by=hp,@missremiashten adds a personal touch with the HP Sprocket. It’s the perfect accessory to make memories last a lifetime! 💌,2017-11-22T23:00:07.000Z
83432,7150,video,259,https://www.instagram.com/p/BcDnmx6gXLW/?taken-by=hp,"With the portable HP Sprocket printer, @alisha creates memorable gifts for her friends. ❄🎁",2017-11-28T23:00:16.000Z
17188,1879,video,20,https://www.instagram.com/p/BZW_lnVg3yv/?taken-by=hp,Print family classics for generations to enjoy with the new ENVY Photo printer. #cookbook #ReinventMemories,2017-09-22T22:00:02.000Z
42528,2682,video,44,https://www.instagram.com/p/BZhSxZeAljs/?taken-by=hp,Check out the set of @clubmickeymouse with all those colorful HP Sprocket pics!,2017-09-26T22:00:04.000Z
na,2221,image,49,https://www.instagram.com/p/BZj3zqIADcL/?taken-by=hp,"Breathtakingly beautiful, unbelievably powerful. The HP Spectre x360.",2017-09-27T22:02:10.000Z
8238,1840,video,19,https://www.instagram.com/p/BZ4eJMng2B9/?taken-by=hp,Travel photographer Rosin Hem (@rosin_hem) used an unexpected opportunity to transform her passion into a profession. What will you reinvent?,2017-10-05T22:01:58.000Z
na,2330,image,7,https://www.instagram.com/p/BaH6tUFHC5u/?taken-by=hp,"Rosin's (@rosin_hem) career transition from fashion to photography was made possible by technology that enables her mobility and creativity. Using her laptop and camera, she’s able to bring her creative vision to life in every moment she captures.",2017-10-11T22:00:10.000Z
na,4824,image,63,https://www.instagram.com/p/BaJtuHmAL4T/?taken-by=hp,HP Sprocket 2-in-1 is always the life of the party. Capture moments with the camera or flip to print.,2017-10-12T14:45:10.000Z
na,1636,image,18,https://www.instagram.com/p/BaKtmmVgV28/?taken-by=hp,"From debuting HP Sprocket 2-in-1 to printing a stunning backdrop of @voguemagazine’s most iconic moments, we were able to #ReinventMemories at #ForcesofFashion.",2017-10-13T00:03:23.000Z
25782,2697,video,31,https://www.instagram.com/p/BaUym32Aqow/?taken-by=hp,"Technology allows Rosin (@rosin_hem) to share her inspiration with the world. From capturing to color correcting, the HP Spectre x2 can empower you to bring your imagination to life.",2017-10-16T22:00:01.000Z
12044,2427,video,19,https://www.instagram.com/p/BachDHlgFA-/?taken-by=hp,"For Rosin (@rosin_hem), photography is an adventure that enables her to explore, connect and experience. With technology that allows her to travel oﬀ the beaten path, she’s able to shoot dynamic photos that evoke the feeling of discovery.",2017-10-19T22:00:16.000Z
na,3297,image,27,https://www.instagram.com/p/Bam0T0CAiD2/?taken-by=hp,Innovation meets imagination with the HP Spectre x360 and a digital pen.,2017-10-23T22:00:43.000Z
38616,2538,video,44,https://www.instagram.com/p/Bar9rgEgFLC/?taken-by=hp,See the magic ✨ with HP Sprocket app’s new Relive Memories feature.,2017-10-25T22:00:05.000Z
7694,1751,video,6,https://www.instagram.com/p/BauiyLygLr2/?taken-by=hp,"Rosin’s (@rosin_hem) photos are inspired by the beauty she ﬁnds in every corner of the world. Through her pictures, Rosin aims to take us back with her to each unique moment she captures.",2017-10-26T22:01:43.000Z
na,2269,image,11,https://www.instagram.com/p/BX3uPIUH0qc/?taken-by=hp,Color your world with the HP Spectre x360.,2017-08-16T22:00:34.000Z
na,4664,image,26,https://www.instagram.com/p/BX832qRg43A/?taken-by=hp,"""Love taking the HP Sprocket on all of our adventures and printing off our photos. We spent the night watching the moon set, the stars come out and then the sun slowly rise to reveal this view."" - @mitch.cox",2017-08-18T22:00:48.000Z
