views,likes,media,comments,url,caption,post_datetime
na,26,image,0,https://www.instagram.com/p/BcmqeDIHPxg/?taken-by=panasonic_india,"Breathe clean and stay energetic. 
Click for fresh air: https://goo.gl/3wbALN",2017-12-12T13:37:32.000Z
80,18,video,0,https://www.instagram.com/p/BcpJW4XH9ii/?taken-by=panasonic_india,"Panasonic Micom Cooker - for hassle free cooking.
https://goo.gl/6kzCnw",2017-12-13T12:46:19.000Z
na,34,image,0,https://www.instagram.com/p/BcxRLdLHYDR/?taken-by=panasonic_india,"Sometimes, you gotta go with the flow.
https://goo.gl/fJHNz5",2017-12-16T16:28:11.000Z
na,37,image,1,https://www.instagram.com/p/Bczwi3onSt0/?taken-by=panasonic_india,"When words fail, music speaks.",2017-12-17T15:40:44.000Z
63,17,video,0,https://www.instagram.com/p/Bc7U2MqntyU/?taken-by=panasonic_india,Tag a friend who’s on a diet. #FoodWise All about diet here: https://goo.gl/WEHmot,2017-12-20T14:12:58.000Z
na,27,image,0,https://www.instagram.com/p/BdHpPLzHa_9/?taken-by=panasonic_india,"Pssss…secret to having a perfect day…sshhhh!
#FoodWise
https://goo.gl/7PZmxy",2017-12-25T09:01:42.000Z
107,27,video,0,https://www.instagram.com/p/BbUN6AjHS-9/?taken-by=panasonic_india,Keep those yaaaaaaawns away. Visit  https://goo.gl/m4bndR to know more. #BetterEveryday,2017-11-10T13:10:21.000Z
na,45,image,0,https://www.instagram.com/p/BbW-COPnAdz/?taken-by=panasonic_india,Is odour the uninvited guest in your fridge? Clean it out with white vinegar. Here’s how: https://goo.gl/ZRVC9D. #BetterHacks,2017-11-11T14:49:15.000Z
145,24,video,1,https://www.instagram.com/p/BbZWjpJHk5T/?taken-by=panasonic_india,"Life is #better when your beard’s in shape. Meet your beard’s new trainer. Click to know more:
https://goo.gl/wZotCX. #bettereveryday #panasonic #beard #trimmer #getthelook",2017-11-12T13:03:03.000Z
99,25,video,0,https://www.instagram.com/p/Bbd8yrqHmfE/?taken-by=panasonic_india,It’s time to revisit those happy #memories that remind you to never grow up. Happy #ChildrensDay!,2017-11-14T07:53:32.000Z
na,25,image,0,https://www.instagram.com/p/BbhDJgBn92m/?taken-by=panasonic_india,Tune in with Panasonic headphones and shut out the world. Reconnect with your inner self. Visit https://goo.gl/NNYkhj to know more. #BetterEveryday,2017-11-15T12:46:20.000Z
na,24,image,5,https://www.instagram.com/p/BbmNWz5n8uM/?taken-by=panasonic_india,Reach the unreachable with long handled Panasonic Vacuum cleaners. Click on  https://goo.gl/7WjYz7 to know more. #BetterLifeBetterWorld,2017-11-17T12:51:44.000Z
na,26,image,0,https://www.instagram.com/p/BboxPU1nuB8/?taken-by=panasonic_india,"With Panasonic Rice cookers, food stays hot, even 5 hours after you turn down the heat. Visit
https://goo.gl/LRYy2Z for more information.
#BetterLifeBetterWorld",2017-11-18T12:43:46.000Z
na,23,image,0,https://www.instagram.com/p/BbrLC2GnTzl/?taken-by=panasonic_india,Be the man amongst men. #InternationalMensDay,2017-11-19T11:07:44.000Z
101,27,video,1,https://www.instagram.com/p/Bbv3Jd4ntKw/?taken-by=panasonic_india,"Can you imagine a world without Television?
#WorldTVDay",2017-11-21T06:50:16.000Z
137,25,video,1,https://www.instagram.com/p/BbzEKAnHl2v/?taken-by=panasonic_india,Never compromise on purity. Get your Panasonic Advanced Eco RO water purifier today. Know more here: https://goo.gl/x9oX8E #BetterLifeBetterWorld,2017-11-22T12:41:43.000Z
na,41,image,0,https://www.instagram.com/p/Bb4PD-6Hcls/?taken-by=panasonic_india,"Do you know Polo can only be played right handed? Here’s why:
https://goo.gl/EhGFP3",2017-11-24T12:52:58.000Z
na,35,image,0,https://www.instagram.com/p/Bb7a0TtnIkc/?taken-by=panasonic_india,"2500 years ago, Polo was introduced as a cavalry training exercise and the rest is history. Know more:
https://goo.gl/9ggSjw",2017-11-25T18:33:25.000Z
na,37,image,0,https://www.instagram.com/p/Ba_v2ennyQS/?taken-by=panasonic_india,Indian golfers dominate Day 1 at the #PanasonicOpenIndia 2017. Here’s all the action straight from Delhi Golf Club. Stay tuned for Day 2.,2017-11-02T14:22:47.000Z
na,34,image,0,https://www.instagram.com/p/BbB04MDHRKA/?taken-by=panasonic_india,"After a thrilling day 1, excitement will soar new heights as we welcome day 2 of #PanasonicOpenIndia 2017. Stay tuned for updates!",2017-11-03T09:45:11.000Z
na,30,image,0,https://www.instagram.com/p/BbCHlAGHleE/?taken-by=panasonic_india,We captured fashionistas checking out the products at our Panasonic Beauty Lounge! #DTLW,2017-11-03T12:28:35.000Z
72,18,video,0,https://www.instagram.com/p/BbCXoxLnBPG/?taken-by=panasonic_india,Scoreboard alert: Paul Peterson tops the leaderboard at the end of day 2 of the #PanasonicOpenIndia 2017. Stay tuned for more updates.,2017-11-03T14:50:25.000Z
na,28,image,0,https://www.instagram.com/p/BbCfIkyHhwW/?taken-by=panasonic_india,An exciting day of #golf at the #PanasonicOpenIndia comes to an end. Here are the glimpses of day 2.,2017-11-03T15:54:25.000Z
na,50,image,2,https://www.instagram.com/p/BbCrF6PHmF1/?taken-by=panasonic_india,"Bold, stylish and the absolutely gorgeous @sonalikasahay poses with our newly launched #Panasonic hairstyler. @TimesFashionWk #DTLW",2017-11-03T17:38:55.000Z
na,51,image,1,https://www.instagram.com/p/BbEB0g7n15H/?taken-by=panasonic_india,.@NehaChawla_ is absolutely impressed by our new range at the #Panasonic #Beauty Lounge @TimesFashionWk #DTLW,2017-11-04T06:16:45.000Z
na,59,image,0,https://www.instagram.com/p/BbEYfo7nKyk/?taken-by=panasonic_india,Let the ultimate game of #golf begin. Stay tuned to know what day 3 has to unfold at the #PanasonicOpenIndia 2017.,2017-11-04T09:34:53.000Z
106,19,video,0,https://www.instagram.com/p/BbE0UL7nWm6/?taken-by=panasonic_india,"An exciting day 3 at the #PanasonicOpenIndia for our golfers come to end with Shiv Kapur and Paul Peterson topping the scoreboard.
Video Credits: @asiantour",2017-11-04T13:38:07.000Z
na,24,image,0,https://www.instagram.com/p/BbG3scxnatx/?taken-by=panasonic_india,The maestros are making a mark on the day 3 of the #PanasonicOpenIndia with their stunning performances. Let’s see who makes it to the finals.  Image Credits: @asiantour,2017-11-05T08:46:00.000Z
na,35,image,0,https://www.instagram.com/p/BbM_hUZHrqd/?taken-by=panasonic_india,"You are where you need to be. Just breathe free with Panasonic Air Purifiers. For more information, visit https://goo.gl/AGJY8y .#BetterLifeBetterWorld",2017-11-07T17:49:49.000Z
na,30,image,0,https://www.instagram.com/p/BbPCWyTnozG/?taken-by=panasonic_india,"Don’t let those potato peels go to waste. Instead use them to bake a crunchy snack. View here: https://goo.gl/uF96wY
#FoodWise",2017-11-08T12:53:05.000Z
94,24,video,1,https://www.instagram.com/p/BZ05A_vH0Sl/?taken-by=panasonic_india,Now is the time to say goodbye to all those hacks to remove stains with Panasonic range of foamtastic washing machines because ‘lot’s of jhaag means no no daag’. Keep your clothes looking foamtastic with Panasonic washing machines unique stainmaster feature that is extra hard on stubborn stains http://bit.ly/2vCcGm6,2017-10-04T12:39:49.000Z
